Date,Open,High,Low,Close,Adj Close,Volume,RSI,50_day_MA,200_day_MA,Government Securities - 5-Year Bond Yield (Per Cent Per Annum),Government Securities - 2-Year Bond Yield (Per Cent Per Annum),Government Securities - 10-Year Bond Yield (Per Cent Per Annum),Government Securities - 1-Year Treasury Bills Yield (Per Cent Per Annum),Government Securities - 15-Year Bond Yield (Per Cent Per Annum),Government Securities - 20-Year Bond Yield (Per Cent Per Annum),Singapore Overnight Rate Average (Per Cent Per Annum),Dividends,ROA,ROE,Cost/Income Ratio
2019-02-01,21.81818008422852,23.09090805053711,21.72727203369141,22.58181762695312,17.0012035369873,75076356,46.00818532032507,22.10909038543701,22.95986309051513,2.1,2.0,2.3,2.0,2.5,2.5,1.7,0.545455,0.95,11.3,46.3
2019-03-01,22.70000076293945,23.21818161010743,22.5,22.93636322021484,17.26812553405762,75533368,47.06472437194854,22.60581756591797,22.62722670555115,1.9,1.9,2.1,2.1,2.3,2.4,2.2,0.545455,0.95,11.3,46.3
2019-04-01,23.09090805053711,26.03636360168457,23.04545402526855,25.68181800842285,19.33510398864746,80886960,48.9104136395581,23.62999935150146,22.69331762313843,2.0,1.9,2.2,2.0,2.4,2.4,2.1,0.545455,1.21,14.0,42.2
2019-05-01,25.68181800842285,25.68181800842285,21.9818172454834,22.08181762695312,16.62476921081543,116682744,43.14395310903583,23.92381744384766,22.66627213478088,1.9,1.9,2.1,2.1,2.3,2.4,1.9,0.545455,1.21,14.0,42.2
2019-06-01,21.90909004211425,23.72727203369141,21.82727241516113,23.60000038146973,18.36054801940918,90952840,38.7764484981233,23.55963577270508,22.67636305809021,1.8,1.7,2.0,2.0,2.3,2.4,1.7,0.272727,1.21,14.0,42.2
2019-07-01,23.83636283874512,24.58181762695312,22.92727279663086,24.00909042358398,18.6788158416748,110167528,45.0304243449233,23.2343631362915,22.76659031867981,1.8,1.7,1.9,1.8,2.1,2.2,1.9,0.272727,1.21,14.0,42.2
2019-08-01,23.80908966064453,24.37272644042969,21.74545478820801,22.29999923706055,17.34916687011719,113689505,44.75806310896913,23.25945407867432,22.85481761932373,1.7,1.7,1.8,1.8,1.9,1.9,1.7,0.272727,1.21,14.0,42.2
2019-09-01,22.18181800842285,23.27272605895996,22.01818084716797,22.72727203369141,17.88598823547363,78368376,45.66187626735392,22.90709041595459,22.96981761932373,1.7,1.7,1.7,1.8,1.9,1.9,1.7,0.272727,1.21,14.0,42.2
2019-10-01,22.76363563537598,23.63636207580566,22.18181800842285,23.63636207580566,18.60142135620117,90592370,52.71037324227267,22.60363578796387,23.09254487991333,1.6,1.6,1.8,1.7,1.9,2.0,1.6,0.272727,1.12,13.4,42.2
2019-11-01,23.54545402526855,24.3636360168457,22.89090919494629,22.95454406738281,18.06484222412109,87765920,47.78714066999397,23.15418117523193,23.25677213668824,1.6,1.5,1.7,1.7,1.9,2.0,1.6,0.272727,1.12,13.4,42.2
2019-12-01,22.9818172454834,23.73636245727539,22.54545402526855,23.52727127075196,18.72661781311035,78194102,57.12602799001965,23.43236293792724,23.29968118667603,1.6,1.5,1.7,1.7,1.9,1.9,1.4,0.272727,1.12,13.4,42.2
2020-01-01,23.52727127075196,24.06363677978516,22.90909004211425,23.06363677978516,18.35758209228516,115448194,52.98733223241958,23.42745372772217,23.30268119812012,1.4,1.4,1.6,1.5,1.8,1.9,1.7,0.272727,1.04,12.1,46.2
2020-02-01,22.82727241516113,23.3818187713623,21.91818046569824,21.91818046569824,17.44585418701172,114653157,51.2252000156683,23.33018104553223,23.12249938011169,1.3,1.3,1.4,1.5,1.5,1.5,1.3,0.272727,1.04,12.1,46.2
2020-03-01,21.81818008422852,22.22727203369141,15.13636302947998,16.8818187713623,13.43714237213135,325029820,38.08463174657765,20.94981758117676,22.64077210426331,1.0,0.8,1.3,0.8,1.5,1.6,0.3,0.272727,1.04,12.1,46.2
2020-04-01,16.76363563537598,18.31818008422852,16.20000076293945,18.14545440673828,14.44293880462646,160823630,39.35427535829907,18.43218116760254,21.98713572502136,0.5,0.4,0.9,0.5,1.1,1.2,0.1,0.272727,0.78,9.2,38.6
2020-05-01,18.14545440673828,18.18181800842285,17.19090843200684,17.70000076293945,14.08837890625,114306187,37.48914045641617,17.26963577270508,21.44740843772888,0.4,0.2,0.8,0.3,1.1,1.2,0.1,0.6,0.78,9.2,38.6
