Date,Open,High,Low,Close,Adj Close,Volume,RSI,50_day_MA,200_day_MA,Dividends,Government Securities - 5-Year Bond Yield (Per Cent Per Annum),Government Securities - 2-Year Bond Yield (Per Cent Per Annum),Government Securities - 10-Year Bond Yield (Per Cent Per Annum),Government Securities - 1-Year Treasury Bills Yield (Per Cent Per Annum),Government Securities - 15-Year Bond Yield (Per Cent Per Annum),Government Securities - 20-Year Bond Yield (Per Cent Per Annum),Singapore Overnight Rate Average (Per Cent Per Annum)
2019-02-01,25.200000762939453,26.18000030517578,24.950000762939453,25.020000457763672,19.19707679748535,40289464,39.98337451388765,25.360399932861327,26.100099954605103,0.5,2.1,2.0,2.3,2.0,2.5,2.5,1.7
2019-03-01,25.0,25.57999992370605,24.700000762939453,25.190000534057617,19.3275089263916,40956136,40.819672208036096,25.40659996032715,25.72804993629456,0.5,1.9,1.9,2.1,2.1,2.3,2.4,2.2
2019-04-01,25.36000061035156,27.96999931335449,25.32999992370605,27.82999992370605,21.353099822998047,52746234,49.79137875714875,25.85479995727539,25.74144994735718,0.5,2.0,1.9,2.2,2.0,2.4,2.4,2.1
2019-05-01,27.82999992370605,27.93000030517578,23.5,23.5,18.03082275390625,69640408,39.082969250457786,25.816800079345704,25.554449939727785,0.2,1.9,1.9,2.1,2.1,2.3,2.4,1.9
2019-06-01,23.46999931335449,26.46999931335449,23.38999938964844,26.1299991607666,20.194181442260746,58629084,39.04969867328325,25.56739997863769,25.408349924087524,0.2,1.8,1.7,2.0,2.0,2.3,2.4,1.7
2019-07-01,26.200000762939453,27.0,25.90999984741211,26.399999618530277,20.40284919738769,46342200,44.75271477947863,25.67879989624024,25.438799934387205,0.2,1.8,1.7,1.9,1.8,2.1,2.2,1.9
2019-08-01,26.200000762939453,26.57999992370605,24.209999084472656,24.959999084472656,19.28996467590332,57852222,44.59134313669189,25.97779987335205,25.48514994621277,0.55,1.7,1.7,1.8,1.8,1.9,1.9,1.7
2019-09-01,24.959999084472656,26.549999237060547,24.729999542236328,25.65999984741211,20.26120948791504,39922500,46.01873400306427,25.720399932861326,25.59164996147156,0.55,1.7,1.7,1.7,1.8,1.9,1.9,1.7
2019-10-01,25.790000915527344,26.979999542236328,25.100000381469727,26.82999992370605,21.185041427612305,43093200,49.36848021521509,25.624600067138672,25.716749992370605,0.55,1.6,1.6,1.8,1.7,1.9,2.0,1.6
2019-11-01,26.649999618530277,27.020000457763672,25.65999984741211,25.81999969482422,20.387540817260746,49874800,46.71874986030163,26.10780002593994,25.79859998703003,0.55,1.6,1.5,1.7,1.7,1.9,2.0,1.6
2019-12-01,26.049999237060547,26.670000076293945,25.18000030517578,26.40999984741211,20.853412628173828,41275900,55.939146992276754,26.27560001373291,25.87720000267029,0.55,1.6,1.5,1.7,1.7,1.9,1.9,1.4
2020-01-01,26.40999984741211,27.0,25.479999542236328,25.65999984741211,20.26120948791504,46947177,51.49384938785512,26.23520004272461,25.95210000038147,0.55,1.4,1.4,1.6,1.5,1.8,1.9,1.7
2020-02-01,25.5,26.3799991607666,24.43000030517578,24.479999542236328,19.32947540283203,63900300,49.74533066642776,26.16740001678467,25.868099994659424,0.55,1.3,1.3,1.4,1.5,1.5,1.5,1.3
2020-03-01,24.100000381469727,24.459999084472656,17.280000686645508,19.450000762939453,15.35777759552002,139544162,37.001812067590976,23.575399971008306,25.45049999237061,0.55,1.0,0.8,1.3,0.8,1.5,1.6,0.3
2020-04-01,19.399999618530277,20.920000076293945,18.61000061035156,20.34000015258789,16.06052017211914,67247024,39.736841092589565,20.97900001525879,24.772000007629394,0.55,0.5,0.4,0.9,0.5,1.1,1.2,0.1
2020-05-01,20.34000015258789,20.34000015258789,19.3799991607666,19.5,15.39725399017334,70039000,37.878140816945,19.64839992523193,24.170150022506714,0.55,0.4,0.2,0.8,0.3,1.1,1.2,0.1
2020-06-01,19.6299991607666,23.3799991607666,19.6200008392334,20.229999542236328,15.973661422729492,112197100,32.374766767793304,20.382800064086915,23.73090003013611,0.55,0.5,0.3,0.9,0.3,1.2,1.3,0.2
2020-07-01,20.31999969482422,21.5,19.209999084472656,19.38999938964844,15.697912216186523,58250250,38.62755760995174,20.70880012512207,23.19425004005432,0.55,0.5,0.2,0.9,0.3,1.1,1.1,0.1
2020-08-01,19.200000762939453,20.450000762939453,19.0,19.559999465942383,15.835540771484377,58373690,28.955799365992945,20.22539993286133,22.52885000228882,0.39,0.5,0.3,1.0,0.3,1.3,1.4,0.2
2020-09-01,19.5,19.68000030517578,18.850000381469727,19.030000686645508,15.711928367614746,59371700,26.780090019169634,19.622600021362302,21.790600032806395,0.39,0.5,0.3,0.9,0.3,1.2,1.3,0.1
2020-10-01,19.21999931335449,20.18000030517578,18.989999771118164,18.989999771118164,15.678900718688965,54538599,29.37111404060425,19.47020008087158,21.026050024032592,0.39,0.5,0.3,0.8,0.3,1.1,1.2,0.3
2020-11-01,18.989999771118164,23.989999771118164,18.959999084472656,22.51000022888184,18.585153579711918,97968427,40.8906888397153,20.397400093078613,20.5583500289917,0.39,0.5,0.3,0.9,0.3,1.1,1.2,0.2
2020-12-01,22.40999984741211,23.21999931335449,22.239999771118164,22.75,18.78330612182617,50959000,37.53056159180148,21.862999992370604,20.43310001373291,0.39,0.5,0.3,0.8,0.4,1.1,1.2,0.9
2021-01-01,22.75,24.200000762939453,22.40999984741211,23.3799991607666,19.30345916748047,59128921,42.365454020060106,23.100599975585936,20.841650037765504,0.39,0.5,0.3,1.0,0.4,1.3,1.4,0.2
2021-02-01,23.07999992370605,24.71999931335449,23.07999992370605,24.68000030517578,20.37679100036621,51407347,44.81725678674469,23.46960006713867,21.218000059127807,0.39,0.7,0.4,1.3,0.4,1.7,1.7,0.3
